Index Joint1 Joint2 Joint3 Joint4 Joint5 Joint6
0 -0.3934612548548236 -1.7435515097112926 1.9291627432466865 -3.422310266376953 -1.1191186729257616 -0.07643147316156851
1 -0.39333624272705375 -1.7430335801539838 1.9304842802587692 -3.4201486357779722 -1.1194701756847931 -0.07714551283468521
2 -0.3931946431771183 -1.7425370367715889 1.9311095247622352 -3.4180670985956 -1.1198217980764147 -0.077823562084496
3 -0.39303859893658016 -1.7420557540686423 1.931242948418221 -3.4160421146973388 -1.120171386212022 -0.07847273625954584
4 -0.3928697492693621 -1.7415853828876982 1.9310292184565194 -3.4140569529030245 -1.1205177156426387 -0.07909807112767624
5 -0.3926893827576703 -1.741122837408657 1.930570578050757 -3.412099752816142 -1.1208601530079199 -0.07970312487558222
6 -0.3924985387312321 -1.7406659284402652 1.9299392264212774 -3.4101621248803196 -1.1211984428094839 -0.08029040824678305
7 -0.3922980759036615 -1.7402131022597136 1.9291861123064804 -3.4082381462370326 -1.1215325705453094 -0.08086169071317702
8 -0.3920887195859001 -1.739763255095058 1.9283471677194004 -3.406323643897094 -1.121862673567005 -0.08141821783778268
9 -0.39187109462448744 -1.7393156015774152 1.9274477209363357 -3.4044156847019718 -1.1221889824095403 -0.08196086530304288
10 -0.3916457486698743 -1.7388695815823618 1.9265056172808643 -3.402512213262412 -1.122511781936739 -0.08249024791137759
11 -0.39141316880675847 -1.738424794319401 1.9255334243025577 -3.4006117953668293 -1.122831385562718 -0.08300679664262621
12 -0.391173793579021 -1.7379809517317384 1.9245399889620505 -3.39871343635139 -1.1231481181980534 -0.0835108130862577
13 -0.3909280217917105 -1.7375378455652901 1.9235315366313799 -3.396816452641035 -1.1234623050630013 -0.08400250786684288
14 -0.39067621904097527 -1.7370953241053164 1.9225124463519678 -3.3949203809495465 -1.1237742644652875 -0.08448202775529791
15 -0.3904187226316489 -1.7366532757458952 1.9214857974787118 -3.393024914122924 -1.1240843032626597 -0.08494947478840553
16 -0.3901558453431837 -1.7362116173860789 1.9204537549672258 -3.391129855816997 -1.1243927141427659 -0.08540491974670211
17 -0.3898878783672861 -1.7357702862341204 1.9194178408251639 -3.3892350884805693 -1.1246997741293299 -0.0858484116516831
18 -0.3896150936451459 -1.7353292340172717 1.9183791252857432 -3.3873405507337404 -1.125005743910634 -0.08627998445547323
19 -0.3893377457654454 -1.7348884228890809 1.9173383613902966 -3.385446221377803 -1.1253108677137162 -0.08669966175112324
20 -0.38905607353754434 -1.7344478225342994 1.9162960796920998 -3.3835521080847695 -1.1256153735349035 -0.08710746008789003
21 -0.388770301321319 -1.7340074081186208 1.9152526548682571 -3.3816582393885484 -1.1259194735971778 -0.08750339130365906
22 -0.3884806401719272 -1.7335671588343726 1.9142083525496165 -3.3797646590054002 -1.1262233649460816 -0.08788746416510491
23 -0.38818728884138054 -1.7331270568666395 1.9131633622254054 -3.3778714217977455 -1.1265272301242322 -0.08825968552040633
24 -0.387890434667208 -1.7326870866560589 1.9121178203488776 -3.375978590897625 -1.1268312378840681 -0.08862006110882677
25 -0.3875902543702767 -1.7322472343710498 1.9110718265501532 -3.374086235648781 -1.127135543911891 -0.08896859612880904
26 -0.3872869147779994 -1.7318074875279879 1.9100254550024276 -3.372194430126982 -1.1274402915455155 -0.08930529563616088
27 -0.3869805734850061 -1.7313678347159982 1.9089787623817394 -3.370303252069158 -1.1277456124741723 -0.08963016482271911
28 -0.3866713794603886 -1.7309282653958282 1.9079317934336273 -3.368412782091954 -1.1280516274136447 -0.08994320921095404
29 -0.3863594736085046 -1.730488769751286 1.9068845848594254 -3.366523103115542 -1.1283584467525556 -0.09024443478946459
30 -0.3860449892887927 -1.7300493385780749 1.905837168023349 -3.3646342999333707 -1.1286661711677144 -0.09053384810691519
31 -0.38572805279894284 -1.7296099631993314 1.9047895708326121 -3.3627464588860314 -1.12897489220776 -0.0908114563367575
32 -0.3854087838249513 -1.7291706354003225 1.9037418190380697 -3.3608596676097204 -1.129284692845215 -0.09107726732141601
33 -0.38508729586099183 -1.7287313473769748 1.9026939371291967 -3.358974014838465 -1.1295956479976252 -0.09133128960203879
34 -0.3847636966015841 -1.7282920916944704 1.9016459489454236 -3.3570895902453857 -1.1299078250188221 -0.09157353243810229
35 -0.38443808830820003 -1.727852861253243 1.9005978780894512 -3.3552064843125593 -1.130221284161546 -0.09180400581988468
36 -0.3841105681521848 -1.7274136492604804 1.8995497482025832 -3.3533247882220865 -1.130536079012786 -0.09202272047592626
37 -0.3837812285356619 -1.7269744492057857 1.8985015831441583 -3.351444593763088 -1.130852256903234 -0.09222968787696605
38 -0.383450157391924 -1.7265352548400343 1.8974534071045543 -3.3495659932508697 -1.1311698592922583 -0.09242492023740102
39 -0.38311743846667523 -1.7260960601567308 1.8964052446723827 -3.347689079455546 -1.1314889221297748 -0.09260843051500381
40 -0.3827831515813732 -1.7256568593753638 1.8953571208702877 -3.345813945538165 -1.1318094761963498 -0.09278023240941594
41 -0.38244737287982394 -1.7252176469263945 1.894309061169408 -3.3439406849929023 -1.132131547422821 -0.0929403403597806
42 -0.3821101750590939 -1.7247784174376017 1.8932610914895125 -3.3420693915942783 -1.1324551571906585 -0.09308876954177066
43 -0.38177162758572997 -1.724339165721584 1.8922132381896797 -3.340200159348598 -1.1327803226142272 -0.09322553586419192
44 -0.38143179689820933 -1.7238998867642612 1.8911655280529003 -3.338333082449025 -1.1331070568060568 -0.09335065596528865
45 -0.3810907465964799 -1.723460575714254 1.8901179882669334 -3.3364682552338203 -1.1334353691261523 -0.09346414720884008
46 -0.3807485376193964 -1.7230212278730495 1.8890706464030151 -3.3346057721473894 -1.133765265416328 -0.0935660276801112
47 -0.3804052284108052 -1.722581838685869 1.8880235303935127 -3.332745727703835 -1.1340967482204876 -0.09365631618170144
48 -0.38006087507498365 -1.7221424037331805 1.8869766685092582 -3.330888216452784 -1.1344298169917173 -0.09373503222932254
49 -0.37971553152209536 -1.7217029187227975 1.8859300893370503 -3.3290333329472794 -1.1347644682870077 -0.0938021960475273
50 -0.37936924960428203 -1.7212633794825176 1.8848838217576407 -3.327181171713573 -1.1351006959503696 -0.09385782856540398
51 -0.3790220792429735 -1.7208237819532632 1.8838378949244061 -3.3253318272226626 -1.1354384912850637 -0.09390195141224707
52 -0.3786740685479621 -1.7203841221826845 1.88279233824282 -3.3234853938634465 -1.135777843215622 -0.09393458691321134
53 -0.37832526392875454 -1.7199443963191945 1.881747181350789 -3.321641965917377 -1.136118738440289 -0.0939557580849539
54 -0.3779757101986812 -1.7195046006064043 1.8807024540998767 -3.319801637534503 -1.136461161574484 -0.09396548863126722
55 -0.3776254506722155 -1.7190647313779348 1.879658186537413 -3.3179645027108156 -1.1368050952858366 -0.0939638029387048
56 -0.37727452725592636 -1.718624785052577 1.8786144088894738 -3.316130655266798 -1.1371505204213233 -0.09395072607220051
57 -0.37692298053346246 -1.718184758129779 1.8775711515447036 -3.3143001888271026 -1.1374974161269924 -0.09392628377068175
58 -0.3765708498449408 -1.7177446471854383 1.8765284450389426 -3.3124731968012857 -1.1378457599607412 -0.0938905024426761
59 -0.3762181733610913 -1.717304448867979 1.875486320040625 -3.310649772365523 -1.1381955279985727 -0.09384340916191102
60 -0.37586498815248526 -1.716864159894697 1.8744448073369084 -3.308830008445248 -1.1385466949347411 -0.09378503166290576
61 -0.37551133025415784 -1.7164237770483537 1.8734039378204934 -3.3070139976986535 -1.138899234176163 -0.09371539833655462
62 -0.37515723472591356 -1.7159832971740037 1.872363742477095 -3.3052018325009924 -1.1392531179314493 -0.0936345382257002
63 -0.37480273570858746 -1.7155427171760393 1.871324252373528 -3.3033936049296417 -1.1396083172948943 -0.09354248102069575
64 -0.3744478664765171 -1.7151020340154413 1.8702854986463722 -3.3015894067498692 -1.1399648023257314 -0.09343925705495539
65 -0.37409265948646514 -1.7146612447072178 1.8692475124911765 -3.299789329401263 -1.14032254212295 -0.09332489730049084
66 -0.37373714642321737 -1.7142203463180237 1.8682103251521767 -3.2979934639847817 -1.1406815048959487 -0.0931994333634336
67 -0.37338135824206753 -1.7137793359639453 1.867173967912489 -3.2962019012503907 -1.1410416580312797 -0.09306289747954126
68 -0.37302532520838655 -1.7133382108084412 1.8661384720847547 -3.2944147315852406 -1.141402968155728 -0.09291532250968683
69 -0.3726690769344626 -1.712896968060429 1.8651038690022046 -3.2926320450023594 -1.1417654011959517 -0.09275674193532997
70 -0.3723126424137858 -1.7124556049725066 1.864070190010119 -3.2908539311298304 -1.1421289224348894 -0.09258718985396892
